optimizer,epoch,train_loss,test_acc,time_s
muonsam,29,0.0476,93.00,2609.9
muonsam,30,0.0446,93.24,2718.9
muonsam,31,0.0434,93.40,2827.7
muonsam,32,0.0410,93.25,2936.6
muonsam,33,0.0432,93.63,3045.5
muonsam,34,0.0401,93.42,3154.4
muonsam,35,0.0366,93.44,3263.5
muonsam,36,0.0367,93.67,3372.2
muonsam,37,0.0345,93.57,3480.8
muonsam,38,0.0340,93.53,3589.5
muonsam,39,0.0343,93.67,3698.1
muonsam,40,0.0312,93.66,3806.9
muonsam,41,0.0294,93.93,3915.5
muonsam,42,0.0299,93.68,4024.2
muonsam,43,0.0300,93.71,4132.9
muonsam,44,0.0272,94.04,4241.5
muonsam,45,0.0290,93.81,4349.9
muonsam,46,0.0283,93.95,4458.2
muonsam,47,0.0256,93.80,4566.5
muonsam,48,0.0237,94.17,4675.0
muonsam,49,0.0258,93.72,4783.3
muonsam,50,0.0237,94.16,4891.5
